,date,Open,High,Low,Close,Adj Close,Volume,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AMZ_close
139,9-3-2020,3564.73999,3564.850098,3427.4099119999996,3455.0600590000004,3455.0600590000004,4898680000,-11,-1,45,-28,-35,8,3368.0
140,9-4-2020,3453.600098,3479.149902,3349.6298829999996,3426.959961,3426.959961,4431440000,-13,-2,55,-25,-36,8,3294.6201170000004
141,9-8-2020,3371.8798829999996,3379.969971,3329.27002,3331.840088,3331.840088,4665600000,-16,-5,24,-31,-37,9,3149.840088
142,9-9-2020,3369.820068,3424.7700200000004,3366.8400880000004,3398.959961,3398.959961,3920830000,-16,-7,24,-32,-35,9,3268.610107
143,9-10-2020,3412.5600590000004,3425.5500490000004,3329.25,3339.189941,3339.189941,4192250000,-16,-6,27,-32,-35,9,3175.110107
144,9-11-2020,3352.699951,3368.9499509999996,3310.469971,3340.969971,3340.969971,3704450000,-17,-8,35,-30,-33,8,3116.219971
145,9-14-2020,3363.5600590000004,3402.929932,3363.5600590000004,3383.540039,3383.540039,3832130000,-16,-7,30,-33,-32,8,3102.969971
146,9-15-2020,3407.7299799999996,3419.4799799999996,3389.25,3401.1999509999996,3401.1999509999996,4051460000,-14,-5,36,-32,-33,9,3156.1298829999996
147,9-16-2020,3411.2299799999996,3428.919922,3384.4499509999996,3385.48999,3385.48999,4710030000,-15,-8,36,-32,-33,9,3078.100098
148,9-17-2020,3346.860107,3375.169922,3328.820068,3357.01001,3357.01001,4371940000,-16,-7,34,-32,-33,9,3008.72998
149,9-18-2020,3357.3798829999996,3362.2700200000004,3292.399902,3319.469971,3319.469971,7068700000,-15,-7,35,-30,-32,8,2954.909912
150,9-21-2020,3285.570068,3285.570068,3229.100098,3281.060059,3281.060059,4828350000,-16,-8,25,-33,-33,9,2960.469971
151,9-22-2020,3295.75,3320.310059,3270.949951,3315.570068,3315.570068,3963300000,-15,-6,28,-34,-33,9,3128.98999
152,9-23-2020,3320.110107,3323.350098,3232.570068,3236.919922,3236.919922,4364500000,-15,-7,27,-33,-32,9,2999.860107
153,9-24-2020,3226.139893,3278.699951,3209.449951,3246.590088,3246.590088,4599470000,-16,-7,25,-33,-32,9,3019.790039
154,9-25-2020,3236.659912,3306.8798829999996,3228.439941,3298.459961,3298.459961,3792220000,-16,-8,25,-31,-31,8,3095.1298829999996
155,9-28-2020,3333.899902,3360.73999,3332.909912,3351.600098,3351.600098,3946060000,-17,-8,12,-35,-32,9,3174.050049
156,9-29-2020,3350.919922,3357.919922,3327.540039,3335.469971,3335.469971,3651880000,-16,-7,11,-35,-32,9,3144.8798829999996
157,9-30-2020,3341.209961,3393.5600590000004,3340.469971,3363.0,3363.0,4722530000,-14,-5,17,-33,-32,8,3148.72998
158,10-1-2020,3385.8701170000004,3397.179932,3361.389893,3380.8000490000004,3380.8000490000004,4070530000,-13,-2,21,-31,-30,8,3221.26001
159,10-2-2020,3338.939941,3369.100098,3323.689941,3348.419922,3348.419922,3961550000,-14,-5,18,-29,-30,8,3125.0
160,10-5-2020,3367.2700200000004,3409.570068,3367.2700200000004,3408.600098,3408.600098,3686920000,-15,-5,15,-32,-32,8,3199.199951
161,10-6-2020,3408.73999,3431.5600590000004,3354.540039,3360.969971,3360.969971,4443380000,-15,-4,25,-32,-32,8,3099.959961
162,10-7-2020,3384.5600590000004,3426.26001,3384.5600590000004,3419.4399409999996,3419.4399409999996,3807830000,-15,-6,24,-33,-31,8,3195.689941
163,10-8-2020,3434.280029,3447.280029,3428.149902,3446.830078,3446.830078,3856190000,-15,-5,29,-31,-31,9,3190.550049
164,10-9-2020,3459.669922,3482.3400880000004,3458.070068,3477.139893,3477.139893,3939060000,-16,-7,30,-29,-31,8,3286.649902
165,10-12-2020,3500.0200200000004,3549.850098,3499.610107,3534.219971,3534.219971,3428970000,-17,-9,9,-36,-37,10,3442.929932
166,10-13-2020,3534.01001,3534.01001,3500.860107,3511.929932,3511.929932,3605150000,-17,-6,18,-33,-32,9,3443.6298829999996
167,10-14-2020,3515.469971,3527.9399409999996,3480.5500490000004,3488.669922,3488.669922,3840630000,-14,-6,25,-31,-30,9,3363.709961
168,10-15-2020,3453.719971,3489.080078,3440.889893,3483.3400880000004,3483.3400880000004,3717640000,-15,-5,23,-30,-31,9,3338.649902
169,10-16-2020,3493.5,3515.76001,3480.4499509999996,3483.8100590000004,3483.8100590000004,4675890000,-17,-8,8,-30,-31,9,3272.709961
170,10-19-2020,3493.6599119999996,3502.419922,3419.929932,3426.919922,3426.919922,4086200000,-18,-9,4,-33,-31,9,3207.209961
171,10-20-2020,3439.3798829999996,3476.929932,3435.649902,3443.1201170000004,3443.1201170000004,3901260000,-17,-7,10,-32,-31,9,3217.01001
172,10-21-2020,3439.9099119999996,3464.860107,3433.0600590000004,3435.5600590000004,3435.5600590000004,4097750000,-16,-7,13,-32,-30,9,3184.939941
173,10-22-2020,3438.5,3460.530029,3415.3400880000004,3453.48999,3453.48999,4163630000,-16,-6,20,-31,-30,9,3176.399902
174,10-23-2020,3464.899902,3466.459961,3440.4499509999996,3465.389893,3465.389893,3646570000,-17,-8,10,-30,-30,9,3204.399902
175,10-26-2020,3441.419922,3441.419922,3364.860107,3400.969971,3400.969971,3988080000,-19,-9,-9,-34,-31,10,3207.040039
176,10-27-2020,3403.149902,3409.51001,3388.709961,3390.679932,3390.679932,3946990000,-17,-7,1,-33,-31,10,3286.330078
177,10-28-2020,3342.47998,3342.47998,3268.889893,3271.030029,3271.030029,5129860000,-16,-7,-2,-34,-30,10,3162.780029
178,10-29-2020,3277.169922,3341.050049,3259.820068,3310.110107,3310.110107,4903070000,-17,-7,-6,-35,-31,10,3211.01001
179,10-30-2020,3293.590088,3304.929932,3233.939941,3269.959961,3269.959961,4840450000,-14,-4,1,-32,-30,8,3036.149902
180,11-2-2020,3296.199951,3330.139893,3279.73999,3310.23999,3310.23999,4310590000,-17,-7,-6,-35,-31,9,3004.47998
181,11-3-2020,3336.25,3389.48999,3336.25,3369.1599119999996,3369.1599119999996,4220070000,-11,-2,14,-34,-33,9,3048.409912
182,11-4-2020,3406.459961,3486.25,3405.169922,3443.4399409999996,3443.4399409999996,4783040000,-18,-10,4,-36,-30,10,3241.159912
183,11-5-2020,3485.73999,3529.0500490000004,3485.73999,3510.4499509999996,3510.4499509999996,4841190000,-18,-8,7,-34,-30,10,3322.0
184,11-6-2020,3508.3400880000004,3521.580078,3484.3400880000004,3509.4399409999996,3509.4399409999996,4833950000,-18,-10,6,-33,-29,9,3311.3701170000004
185,11-9-2020,3583.040039,3645.98999,3547.4799799999996,3550.5,3550.5,8556610000,-19,-9,-3,-36,-31,10,3143.73999
186,11-10-2020,3543.26001,3557.219971,3511.9099119999996,3545.530029,3545.530029,6024230000,-18,-7,-2,-35,-31,10,3035.02002
187,11-11-2020,3563.219971,3581.1599119999996,3557.0,3572.6599119999996,3572.6599119999996,4609970000,-15,-8,-10,-39,-38,12,3137.389893
188,11-12-2020,3562.669922,3569.0200200000004,3518.580078,3537.01001,3537.01001,4890120000,-20,-9,-12,-37,-32,11,3110.280029
189,11-13-2020,3552.570068,3593.6599119999996,3552.570068,3585.149902,3585.149902,4709670000,-19,-9,-11,-35,-30,11,3128.810059
190,11-16-2020,3600.1599119999996,3628.51001,3600.1599119999996,3626.9099119999996,3626.9099119999996,5281980000,-20,-8,-10,-37,-31,10,3131.060059
191,11-17-2020,3610.3100590000004,3623.110107,3588.679932,3609.530029,3609.530029,4799570000,-20,-7,-12,-37,-32,11,3135.659912
192,11-18-2020,3612.0900880000004,3619.0900880000004,3567.330078,3567.790039,3567.790039,5274450000,-19,-7,-13,-37,-32,11,3105.459961
193,11-19-2020,3559.4099119999996,3585.219971,3543.8400880000004,3581.8701170000004,3581.8701170000004,4347200000,-19,-6,-6,-36,-31,11,3117.02002
194,11-20-2020,3579.3100590000004,3581.2299799999996,3556.850098,3557.540039,3557.540039,4218970000,-20,-8,-5,-33,-30,11,3099.399902
195,11-23-2020,3566.820068,3589.8100590000004,3552.7700200000004,3577.5900880000004,3577.5900880000004,5036290000,-16,-2,-12,-37,-35,11,3098.389893
196,11-24-2020,3594.5200200000004,3642.3100590000004,3594.5200200000004,3635.4099119999996,3635.4099119999996,6267570000,-12,6,-9,-33,-36,11,3118.060059
197,11-25-2020,3635.5,3635.5,3617.76001,3629.649902,3629.649902,4902560000,-3,23,-7,-30,-40,10,3185.070068
198,11-27-2020,3638.5500490000004,3644.3100590000004,3629.330078,3638.350098,3638.350098,2778450000,-26,-20,2,-47,-60,19,3195.340088
199,11-30-2020,3634.179932,3634.179932,3594.389893,3621.6298829999996,3621.6298829999996,6291400000,-21,-12,-27,-39,-34,12,3168.040039
